"库名","表名","表名中文","表内序号","列名","列名中文","数据类型","是否允空","记录数","去重个数","空值个数","是否主键","外键关联表名","是否码值"
"LC00059999","ACCESS_SYS_AUTHORIZATION","","1","SYS_AUTHORIZATION_ID","FSIASA-YYYYMMDD-3位流水号","VARCHAR2","N","3","3","0","","",""
"LC00059999","ACCESS_SYS_AUTHORIZATION","","2","SYS_INFO_ID","FSIASI-YYYYMMDD-3位流水号","VARCHAR2","N","3","3","0","1","",""
"LC00059999","ACCESS_SYS_AUTHORIZATION","","3","METHOD_CODE","","VARCHAR2","N","3","2","0","1","","1"
"LC00059999","ACCESS_SYS_AUTHORIZATION","","4","METHOD_NAME","","VARCHAR2","Y","3","2","0","","",""
"LC00059999","ACCESS_SYS_INFO","","1","SYS_INFO_ID","FSIASI-YYYYMMDD-3位流水号","VARCHAR2","N","5","5","0","1","",""
"LC00059999","ACCESS_SYS_INFO","","2","SYS_ID","","VARCHAR2","Y","5","5","0","","",""
"LC00059999","ACCESS_SYS_INFO","","3","USER_ID","","VARCHAR2","Y","5","2","0","","",""
"LC00059999","ACCESS_SYS_INFO","","4","PASSWORD","","VARCHAR2","Y","5","3","0","","",""
"LC00059999","ACCESS_SYS_INFO","","5","IP_ADDRESS","","VARCHAR2","Y","5","3","0","","",""
"LC00059999","ACCESS_SYS_INFO","","6","STATUS","1有效，0无效","CHAR","Y","5","2","0","","","1"
"LC00059999","ACCESS_SYS_INFO","","7","REMARK","","VARCHAR2","Y","5","1","4","","",""
"LC00059999","ACCESS_SYS_INFO","","8","CREATER","","VARCHAR2","Y","5","1","0","","",""
"LC00059999","ACCESS_SYS_INFO","","9","CREAT_TIME","","VARCHAR2","Y","5","5","0","","",""
"LC00059999","ACCESS_SYS_INFO","","10","UPDATER","","VARCHAR2","Y","5","1","0","","",""
"LC00059999","ACCESS_SYS_INFO","","11","UPDATE_TIME","","VARCHAR2","Y","5","5","0","","",""
"LC00059999","ACCESS_SYS_INFO","","12","PAY_MODE","","VARCHAR2","Y","5","0","5","","",""
"LC00059999","ACM_VIRACC_RULE","","1","ID","","VARCHAR2","N","2","2","0","1","",""
"LC00059999","ACM_VIRACC_RULE","","2","VIRACC_RULE","","VARCHAR2","N","2","2","0","","",""
"LC00059999","ACM_VIRACC_RULE","","3","BANK_CLASSIFY","","VARCHAR2","N","2","2","0","","",""
"LC00059999","ACM_VIRACC_RULE","","4","REMARK","","VARCHAR2","Y","2","0","2","","",""
"LC00059999","ACM_VIRACC_RULE","","5","BANK_ACC_ID","","VARCHAR2","N","2","2","0","","",""
"LC00059999","ACM_VIRACC_RULE","","6","ENABLE_STATE","0未启用、1启用、2停用、3作废","CHAR","Y","2","1","0","","",""
"LC00059999","ACM_VIRACC_RULE","","7","OPERATOR","","VARCHAR2","Y","2","0","2","","",""
"LC00059999","ACM_VIRACC_RULE","","8","OPERATOR_NAME","","VARCHAR2","Y","2","0","2","","",""
"LC00059999","ACM_VIRACC_RULE","","9","OPERATOR_DATE","","VARCHAR2","Y","2","0","2","","",""
"LC00059999","ACM_VIRACC_RULE","","10","LST_MODIFIED_USER","","VARCHAR2","Y","2","0","2","","",""
"LC00059999","ACM_VIRACC_RULE","","11","LST_MODIFIED_NAME","","VARCHAR2","Y","2","0","2","","",""
"LC00059999","ACM_VIRACC_RULE","","12","LST_MODIFIED_DATE","","VARCHAR2","Y","2","0","2","","",""
"LC00059999","ACM_VIRACC_RULE","","13","VIRNAME_TYPE","1:账户名称，2:法人名称，3：固定（测试用）","CHAR","Y","2","1","0","","","1"
"LC00059999","ACM_VIRACC_RULE","","14","VIRNAME_RULE","固定账户名称","VARCHAR2","Y","2","0","2","","",""
"LC00059999","ACONT_GAGE_ITEM","","1","REL_ID","","VARCHAR2","Y","1244","1244","0","","",""
"LC00059999","ACONT_GAGE_ITEM","","2","ACONT_ID","","VARCHAR2","Y","1244","1244","0","","",""
"LC00059999","ACONT_GAGE_ITEM","","3","RELT_TYPE","","VARCHAR2","Y","1244","0","1244","","","1"
"LC00059999","ACONT_GAGE_ITEM","","4","RELT_NO","","VARCHAR2","Y","1244","890","354","","",""
"LC00059999","ACONT_GAGE_ITEM","","5","ACONT_TYPE","","VARCHAR2","Y","1244","0","1244","","","1"
"LC00059999","ACONT_GAGE_ITEM","","6","GARTER_KIND","","VARCHAR2","Y","1244","2","0","","",""
"LC00059999","ACONT_GAGE_ITEM","","7","GART_PROPERTY","","VARCHAR2","Y","1244","1","354","","",""
"LC00059999","ACONT_GAGE_ITEM","","8","GART_NAME","","VARCHAR2","Y","1244","84","1","","",""
"LC00059999","ACONT_GAGE_ITEM","","9","GART_AMT","","NUMBER","Y","1244","401","0","","",""
"LC00059999","ACONT_GAGE_ITEM","","10","STAT","","VARCHAR2","Y","1244","1","0","","",""
"LC00059999","ACONT_GAGE_ITEM","","11","CREDIT_CARD_NO","","VARCHAR2","Y","1244","55","357","","",""
"LC00059999","ACONT_GAGE_ITEM","","12","GAGE_CUSTCD","","VARCHAR2","Y","1244","80","3","","",""
"LC00059999","ACONT_GAGE_ITEM","","13","IDTYPE","","VARCHAR2","Y","1244","2","886","","","1"
"LC00059999","ACONT_GAGE_ITEM","","14","IDNO","","VARCHAR2","Y","1244","65","886","","",""
"LC00059999","ACONT_GAGE_ITEM","","15","ORG_CODE","","VARCHAR2","Y","1244","0","1244","","","1"
"LC00059999","ACONT_GAGE_ITEM","","16","GAGE_CUST_CNAME","","VARCHAR2","Y","1244","0","1244","","",""
"LC00059999","ACONT_GAGE_ITEM","","17","ADDRESS","","VARCHAR2","Y","1244","0","1244","","",""
"LC00059999","ACONT_GAGE_ITEM","","18","REMARK","","VARCHAR2","Y","1244","0","1244","","",""
"LC00059999","ACONT_GAGE_ITEM","","19","OPER_ID","","VARCHAR2","Y","1244","18","888","","",""
"LC00059999","ACONT_GAGE_ITEM","","20","CREATE_DATE","","VARCHAR2","Y","1244","221","888","","",""
"LC00059999","ACONT_GAGE_ITEM","","21","LAST_UPD_DATE","","VARCHAR2","Y","1244","5","1239","","",""
"LC00059999","ACONT_GAGE_ITEM","","22","LAST_UPD_OPERID","","VARCHAR2","Y","1244","5","1239","","",""
"LC00059999","ACONT_GAGE_ITEM","","23","HANDLER","","VARCHAR2","Y","1244","18","888","","",""
"LC00059999","ACONT_GAGE_ITEM","","24","CHECKER","","VARCHAR2","Y","1244","16","925","","",""
"LC00059999","ACONT_GAGE_ITEM","","25","OPER_DATE","","VARCHAR2","Y","1244","817","0","","",""
"LC00059999","ACONT_GAGE_ITEM","","26","CHECK_DATE","","VARCHAR2","Y","1244","212","925","","",""
"LC00059999","ACONT_GAGE_ITEM","","27","CANCEL_DATE","","VARCHAR2","Y","1244","0","1244","","",""
"LC00059999","ACONT_GAGE_ITEM","","28","OLD_CONTENT","","CLOB","Y","1244","0","1241","","",""
"LC00059999","ACONT_GAGE_ITEM","","29","CUST_ACTNO","","VARCHAR2","Y","1244","80","899","","",""
"LC00059999","ACONT_GAGE_ITEM","","30","RECV_KHHMC","","VARCHAR2","Y","1244","3","899","","",""
"LC00059999","ACONT_RELATION","","1","REL_ID","","VARCHAR2","Y","16116","16116","0","","",""
"LC00059999","ACONT_RELATION","","2","ACONT_ID","","VARCHAR2","Y","16116","1501","0","","",""
"LC00059999","ACONT_RELATION","","3","CONT_ID","","VARCHAR2","Y","16116","13601","0","","",""
"LC00059999","ACONT_RELATION","","4","CONT_NO","","VARCHAR2","Y","16116","13300","0","","",""
"LC00059999","ACONT_RELATION","","5","CONT_BIG_KIND","","VARCHAR2","Y","16116","4","660","","",""
"LC00059999","ACONT_RELATION","","6","CONT_TYPE","","VARCHAR2","Y","16116","5","9748","","","1"
"LC00059999","ACONT_RELATION","","7","RELT_TYPE","","VARCHAR2","Y","16116","3","0","","","1"
"LC00059999","ACONT_RELATION","","8","RELT_NO","","VARCHAR2","Y","16116","1501","0","","",""
"LC00059999","ACONT_RELATION","","9","ACONT_TYPE","","VARCHAR2","Y","16116","0","16119","","","1"
"LC00059999","ACONT_RELATION","","10","GARTER_KIND","","VARCHAR2","Y","16116","3","14144","","",""
"LC00059999","ACONT_RELATION","","11","GART_PROPERTY","","VARCHAR2","Y","16116","3","0","","",""
"LC00059999","ACONT_RELATION","","12","GART_NAME","","VARCHAR2","Y","16116","76","14869","","",""
"LC00059999","ACONT_RELATION","","13","GART_AMT","","NUMBER","Y","16116","537","0","","",""
"LC00059999","ACONT_RELATION","","14","STAT","","VARCHAR2","Y","16116","4","0","","",""
"LC00059999","ACONT_RELATION","","15","CREDIT_CARD_NO","","VARCHAR2","Y","16116","56","15168","","",""
"LC00059999","ACONT_RELATION","","16","GAGE_CUSTCD","","VARCHAR2","Y","16116","80","14338","","",""
"LC00059999","ACONT_RELATION","","17","IDTYPE","","VARCHAR2","Y","16116","0","16119","","","1"
"LC00059999","ACONT_RELATION","","18","IDNO","","VARCHAR2","Y","16116","0","16119","","",""
"LC00059999","ACONT_RELATION","","19","ORG_CODE","","VARCHAR2","Y","16116","0","16119","","","1"
"LC00059999","ACONT_RELATION","","20","GAGE_CUST_CNAME","","VARCHAR2","Y","16116","0","16119","","",""
"LC00059999","ACONT_RELATION","","21","ADDRESS","","VARCHAR2","Y","16116","0","16119","","",""
"LC00059999","ACONT_RELATION","","22","REMARK","","VARCHAR2","Y","16116","0","16119","","",""
"LC00059999","ACONT_RELATION","","23","OPER_ID","","VARCHAR2","Y","16116","5","7919","","",""
"LC00059999","ACONT_RELATION","","24","CREATE_DATE","","VARCHAR2","Y","16116","4588","6818","","",""
"LC00059999","ACONT_RELATION","","25","LAST_UPD_DATE","","VARCHAR2","Y","16116","433","15417","","",""
"LC00059999","ACONT_RELATION","","26","LAST_UPD_OPERID","","VARCHAR2","Y","16116","25","15417","","",""
"LC00059999","ACONT_RELATION","","27","CHANGE_ID","","VARCHAR2","Y","16116","9","16110","","",""
"LC00059999","ACONT_RELATION","","28","HANDLER","","VARCHAR2","Y","16116","23","10911","","",""
"LC00059999","ACONT_RELATION","","29","CHECKER","","VARCHAR2","Y","16116","28","11829","","",""
"LC00059999","ACONT_RELATION","","30","OPER_DATE","","VARCHAR2","Y","16116","1243","10135","","",""
"LC00059999","ACONT_RELATION","","31","CHECK_DATE","","VARCHAR2","Y","16116","1192","3344","","",""
"LC00059999","ACONT_RELATION","","32","CANCEL_DATE","","VARCHAR2","Y","16116","1316","4342","","",""
"LC00059999","ACONT_RELATION","","33","USE_AMT","","NUMBER","Y","16116","1","16118","","",""
"LC00059999","AM_SUSMAN_LIST","可疑交易组织人员黑白名单","1","PKEY","内码","VARCHAR2","N","40","40","0","1","",""
"LC00059999","AM_SUSMAN_LIST","可疑交易组织人员黑白名单","2","STATUS","01:申请 02：待复核 03：复核通过, 04:复核退回，05：已作废","CHAR","N","40","1","0","","","1"
"LC00059999","AM_SUSMAN_LIST","可疑交易组织人员黑白名单","3","TYPE","类型 1 组织 2人员","CHAR","N","40","1","0","","","1"
"LC00059999","AM_SUSMAN_LIST","可疑交易组织人员黑白名单","4","NAME","名称","VARCHAR2","N","40","40","0","","",""
"LC00059999","AM_SUSMAN_LIST","可疑交易组织人员黑白名单","5","LIST_TYPE","1:白名单 2：黑名单","CHAR","Y","40","1","0","","","1"
"LC00059999","AM_SUSMAN_LIST","可疑交易组织人员黑白名单","6","CREDENTIALS_TYPE","证件类型组织：
00营业执照
01组织机构代码证
02统一社会信用代码
人员：
00 身份证
01 护照
02 签证
03 港澳通行证
04 居住证
05 户口本
","VARCHAR2","Y","40","1","0","","","1"
"LC00059999","AM_SUSMAN_LIST","可疑交易组织人员黑白名单","7","CREDENTIALS_CODE","证件号码","VARCHAR2","Y","40","40","0","","","1"
"LC00059999","AM_SUSMAN_LIST","可疑交易组织人员黑白名单","8","BANK_CARD","银行卡号","VARCHAR2","Y","40","0","40","","",""
"LC00059999","AM_SUSMAN_LIST","可疑交易组织人员黑白名单","9","BANK_CARD_NAME","银行卡户名","VARCHAR2","Y","40","0","40","","",""
"LC00059999","AM_SUSMAN_LIST","可疑交易组织人员黑白名单","10","IN_REASON","加入黑名单原因","VARCHAR2","Y","40","1","0","","",""
"LC00059999","AM_SUSMAN_LIST","可疑交易组织人员黑白名单","11","OPERATOR","操作人","VARCHAR2","N","40","1","0","","",""
"LC00059999","AM_SUSMAN_LIST","可疑交易组织人员黑白名单","12","OPERATE_TIME","操作时间 yyyymmddhh24miss","VARCHAR2","N","40","32","0","","",""
"LC00059999","AM_SUSMAN_LIST","可疑交易组织人员黑白名单","13","REVIEWER","复核人","VARCHAR2","Y","40","1","0","","",""
"LC00059999","AM_SUSMAN_LIST","可疑交易组织人员黑白名单","14","REVIEW_TIME","复核时间 yyyymmddhh24miss","VARCHAR2","Y","40","32","0","","",""
"LC00059999","AM_SUSMAN_LIST","可疑交易组织人员黑白名单","15","NOTE","备注","VARCHAR2","Y","40","0","40","","",""
"LC00059999","AM_SUSMAN_LIST","可疑交易组织人员黑白名单","16","OFF_REASON","作废原因","VARCHAR2","Y","40","0","40","","",""
"LC00059999","AM_SUSMAN_LIST","可疑交易组织人员黑白名单","17","OFF_OPERATOR","作废操作人","VARCHAR2","Y","40","0","40","","",""
"LC00059999","AM_SUSMAN_LIST","可疑交易组织人员黑白名单","18","OFF_OPERATE_TIME","操作时间 yyyymmddhh24miss","VARCHAR2","Y","40","0","40","","",""
"LC00059999","AM_SUSMAN_LIST","可疑交易组织人员黑白名单","19","OFF_REVIEWER","作废复核人","VARCHAR2","Y","40","0","40","","",""
"LC00059999","AM_SUSMAN_LIST","可疑交易组织人员黑白名单","20","OFF_REVIEW_TIME","复核时间 yyyymmddhh24miss","VARCHAR2","Y","40","0","40","","",""
"LC00059999","AM_SUSMAN_LIST","可疑交易组织人员黑白名单","21","REJECT_REASON","退回原因","VARCHAR2","Y","40","0","40","","",""
"LC00059999","AVOID_REPEAT","","1","CLASS_NAME","","VARCHAR2","Y","4179","46","0","","",""
"LC00059999","AVOID_REPEAT","","2","METHOD_NAME","","VARCHAR2","Y","4179","31","0","","",""
"LC00059999","AVOID_REPEAT","","3","PARAMS","","VARCHAR2","Y","4179","4054","0","","",""
"LC00059999","AVOID_REPEAT","","4","REQUEST_TIME","","DATE","Y","4179","4179","0","","",""
"LC00059999","BABAPBOARDPARAM","","1","ID","","VARCHAR2","N","4","4","0","","",""
"LC00059999","BABAPBOARDPARAM","","2","USER_ID","","VARCHAR2","N","4","4","0","","",""
"LC00059999","BABAPBOARDPARAM","","3","BOARD_ID","","VARCHAR2","N","4","4","0","","",""
"LC00059999","BABAPBOARDPARAM","","4","CONFIG","","CLOB","Y","4","0","0","","",""
"LC00059999","BABAPBOARDPARAM","","5","BACKEND_TYPE","","NUMBER","Y","4","1","0","","","1"
"LC00059999","BABAPBOARDPARAM","","6","TAB","","NUMBER","Y","4","0","4","","",""
"LC00059999","BABAPBOARDPARAM01","","1","ID","","VARCHAR2","N","4","4","0","","",""
"LC00059999","BABAPBOARDPARAM01","","2","USER_ID","","VARCHAR2","N","4","4","0","","",""
"LC00059999","BABAPBOARDPARAM01","","3","BOARD_ID","","VARCHAR2","N","4","4","0","","",""
"LC00059999","BABAPBOARDPARAM01","","4","CONFIG","","CLOB","Y","4","0","0","","",""
"LC00059999","BABAPBOARDPARAM01","","5","BACKEND_TYPE","","NUMBER","Y","4","1","0","","","1"
"LC00059999","BABAPBOARDPARAM01","","6","TAB","","NUMBER","Y","4","0","4","","",""
"LC00059999","BABAPCATEGORY","","1","ID","","VARCHAR2","N","69","69","0","","",""
"LC00059999","BABAPCATEGORY","","2","CATEGORY_PID","","VARCHAR2","Y","69","8","0","","",""
"LC00059999","BABAPCATEGORY","","3","USER_ID","","VARCHAR2","N","69","7","0","","",""
"LC00059999","BABAPCATEGORY","","4","CATEGORY_NAME_CHS","","VARCHAR2","N","69","44","0","","",""
"LC00059999","BABAPCATEGORY","","5","CATEGORY_CODE","","VARCHAR2","N","69","46","0","","","1"
"LC00059999","BABAPCATEGORY","","6","CATEGORY_TYPE","","VARCHAR2","N","69","6","0","","","1"
"LC00059999","BABAPCATEGORY","","7","CATEGORY_GRADECODE","","VARCHAR2","Y","69","1","41","","","1"
"LC00059999","BABAPCATEGORY","","8","CATEGORY_LAYER","","NUMBER","Y","69","2","0","","",""
"LC00059999","BABAPCATEGORY","","9","CATEGORY_ISDETAIL","","NUMBER","Y","69","1","0","","",""
"LC00059999","BABAPCATEGORY","","10","CREATE_TIME","","TIMESTAMP(7)","N","69","69","0","","",""
"LC00059999","BABAPCATEGORY","","11","UPDATE_TIME","","TIMESTAMP(7)","N","69","69","0","","",""
"LC00059999","BABAPCATEGORY","","12","CATEGORY_NAME_CHT","","VARCHAR2","Y","69","0","69","","",""
"LC00059999","BABAPCATEGORY","","13","CATEGORY_NAME_EN","","VARCHAR2","Y","69","0","69","","",""
"LC00059999","BABAPCATEGORY","","14","CATEGORY_NAME_ES","","VARCHAR2","Y","69","0","69","","",""
"LC00059999","BABAPCATEGORY","","15","CATEGORY_NAME_PT","","VARCHAR2","Y","69","0","69","","",""
"LC00059999","BABAPCATEGORY","","16","BACKEND_TYPE","","NUMBER","Y","69","2","0","","","1"
"LC00059999","BABAPCATEGORY","","17","TAB","","NUMBER","Y","69","1","0","","",""
"LC00059999","BABAPCATEGORY01","","1","ID","","VARCHAR2","N","69","69","0","","",""
"LC00059999","BABAPCATEGORY01","","2","CATEGORY_PID","","VARCHAR2","Y","69","8","0","","",""
"LC00059999","BABAPCATEGORY01","","3","USER_ID","","VARCHAR2","N","69","7","0","","",""
"LC00059999","BABAPCATEGORY01","","4","CATEGORY_NAME_CHS","","VARCHAR2","N","69","44","0","","",""
"LC00059999","BABAPCATEGORY01","","5","CATEGORY_CODE","","VARCHAR2","N","69","46","0","","","1"
"LC00059999","BABAPCATEGORY01","","6","CATEGORY_TYPE","","VARCHAR2","N","69","6","0","","","1"
"LC00059999","BABAPCATEGORY01","","7","CATEGORY_GRADECODE","","VARCHAR2","Y","69","1","41","","","1"
"LC00059999","BABAPCATEGORY01","","8","CATEGORY_LAYER","","NUMBER","Y","69","2","0","","",""
"LC00059999","BABAPCATEGORY01","","9","CATEGORY_ISDETAIL","","NUMBER","Y","69","1","0","","",""
"LC00059999","BABAPCATEGORY01","","10","CREATE_TIME","","TIMESTAMP(7)","N","69","69","0","","",""
"LC00059999","BABAPCATEGORY01","","11","UPDATE_TIME","","TIMESTAMP(7)","N","69","69","0","","",""
"LC00059999","BABAPCATEGORY01","","12","CATEGORY_NAME_CHT","","VARCHAR2","Y","69","0","69","","",""
"LC00059999","BABAPCATEGORY01","","13","CATEGORY_NAME_EN","","VARCHAR2","Y","69","0","69","","",""
"LC00059999","BABAPCATEGORY01","","14","CATEGORY_NAME_ES","","VARCHAR2","Y","69","0","69","","",""
"LC00059999","BABAPCATEGORY01","","15","CATEGORY_NAME_PT","","VARCHAR2","Y","69","0","69","","",""
"LC00059999","BABAPCATEGORY01","","16","BACKEND_TYPE","","NUMBER","Y","69","2","0","","","1"
"LC00059999","BABAPCATEGORY01","","17","TAB","","NUMBER","Y","69","1","0","","",""
"LC00059999","BABAPCHARTCOLOR","","1","ID","","NVARCHAR2","N","18","18","0","","",""
"LC00059999","BABAPCHARTCOLOR","","2","CHARTCOLOR_CODE","","NVARCHAR2","N","18","18","0","","","1"
"LC00059999","BABAPCHARTCOLOR","","3","CHARTCOLOR_NAME_CHS","","NVARCHAR2","N","18","18","0","","",""
"LC00059999","BABAPCHARTCOLOR","","4","CHARTCOLOR_CONFIG","","NVARCHAR2","Y","18","17","0","","",""
"LC00059999","BABAPCHARTCOLOR","","5","CHARTCOLOR_NAME_CHT","","NVARCHAR2","Y","18","0","18","","",""
"LC00059999","BABAPCHARTCOLOR","","6","CHARTCOLOR_NAME_EN","","NVARCHAR2","Y","18","0","18","","",""
"LC00059999","BABAPCHARTCOLOR","","7","CHARTCOLOR_NAME_ES","","NVARCHAR2","Y","18","0","18","","",""
"LC00059999","BABAPCHARTCOLOR","","8","CHARTCOLOR_NAME_PT","","NVARCHAR2","Y","18","0","18","","",""
"LC00059999","BABAPCHARTCOLOR","","9","BACKEND_TYPE","","NUMBER","Y","18","1","0","","","1"
"LC00059999","BABAPCHARTCOLOR","","10","TAB","","NUMBER","Y","18","1","0","","",""
"LC00059999","BABAPCHARTCOLOR","","11","USER_ID","","NVARCHAR2","N","18","1","0","","",""
"LC00059999","BABAPCHARTCOLOR","","12","SERIALNUMBER","","NUMBER","Y","18","18","0","","",""
"LC00059999","BABAPCHARTCOLOR01","","1","ID","","NVARCHAR2","N","18","18","0","","",""
"LC00059999","BABAPCHARTCOLOR01","","2","CHARTCOLOR_CODE","","NVARCHAR2","N","18","18","0","","","1"
"LC00059999","BABAPCHARTCOLOR01","","3","CHARTCOLOR_NAME_CHS","","NVARCHAR2","N","18","18","0","","",""
"LC00059999","BABAPCHARTCOLOR01","","4","CHARTCOLOR_CONFIG","","NVARCHAR2","Y","18","17","0","","",""
"LC00059999","BABAPCHARTCOLOR01","","5","CHARTCOLOR_NAME_CHT","","NVARCHAR2","Y","18","0","18","","",""
"LC00059999","BABAPCHARTCOLOR01","","6","CHARTCOLOR_NAME_EN","","NVARCHAR2","Y","18","0","18","","",""
"LC00059999","BABAPCHARTCOLOR01","","7","CHARTCOLOR_NAME_ES","","NVARCHAR2","Y","18","0","18","","",""
"LC00059999","BABAPCHARTCOLOR01","","8","CHARTCOLOR_NAME_PT","","NVARCHAR2","Y","18","0","18","","",""
"LC00059999","BABAPCHARTCOLOR01","","9","BACKEND_TYPE","","NUMBER","Y","18","1","0","","","1"
"LC00059999","BABAPCHARTCOLOR01","","10","TAB","","NUMBER","Y","18","1","0","","",""
"LC00059999","BABAPCHARTCOLOR01","","11","USER_ID","","NVARCHAR2","N","18","1","0","","",""
"LC00059999","BABAPCHARTCOLOR01","","12","SERIALNUMBER","","NUMBER","Y","18","18","0","","",""
"LC00059999","BABAPDATASET","","1","ID","","VARCHAR2","N","266","266","0","","",""
"LC00059999","BABAPDATASET","","2","DATASOURCE_ID","","VARCHAR2","N","266","4","0","","",""
"LC00059999","BABAPDATASET","","3","CATEGORY_ID","","VARCHAR2","Y","266","21","0","","",""
"LC00059999","BABAPDATASET","","4","USER_ID","","VARCHAR2","N","266","4","0","","",""
"LC00059999","BABAPDATASET","","5","DATASET_CODE","","VARCHAR2","N","266","266","0","","",""
"LC00059999","BABAPDATASET","","6","DATASET_NAME_CHS","","VARCHAR2","N","266","248","0","","",""
"LC00059999","BABAPDATASET","","7","DATASET_TYPE","","VARCHAR2","N","266","2","0","","","1"
"LC00059999","BABAPDATASET","","8","DATASET_JSON","","CLOB","N","266","0","0","","",""
"LC00059999","BABAPDATASET","","9","CREATE_TIME","","TIMESTAMP(7)","N","266","266","0","","",""
"LC00059999","BABAPDATASET","","10","UPDATE_TIME","","TIMESTAMP(7)","N","266","266","0","","",""
"LC00059999","BABAPDATASET","","11","APPLICATION_SYSTYPE","","VARCHAR2","Y","266","2","1","","","1"
"LC00059999","BABAPDATASET","","12","DATASET_NAME_CHT","","VARCHAR2","Y","266","0","266","","",""
"LC00059999","BABAPDATASET","","13","DATASET_NAME_EN","","VARCHAR2","Y","266","0","266","","",""
"LC00059999","BABAPDATASET","","14","DATASET_NAME_ES","","VARCHAR2","Y","266","0","266","","",""
"LC00059999","BABAPDATASET","","15","DATASET_NAME_PT","","VARCHAR2","Y","266","0","266","","",""
"LC00059999","BABAPDATASET","","16","SECURITY_LEVEL","","NUMBER","Y","266","0","266","","","1"
"LC00059999","BABAPDATASET","","17","BACKEND_TYPE","","NUMBER","Y","266","1","0","","","1"
"LC00059999","BABAPDATASET","","18","BIPM_ID","","VARCHAR2","Y","266","8","136","","",""
"LC00059999","BABAPDATASET","","19","TAB","","NUMBER","Y","266","1","0","","",""
"LC00059999","BABAPDATASET01","","1","ID","","VARCHAR2","N","266","266","0","","",""
"LC00059999","BABAPDATASET01","","2","DATASOURCE_ID","","VARCHAR2","N","266","4","0","","",""
"LC00059999","BABAPDATASET01","","3","CATEGORY_ID","","VARCHAR2","Y","266","21","0","","",""
"LC00059999","BABAPDATASET01","","4","USER_ID","","VARCHAR2","N","266","4","0","","",""
"LC00059999","BABAPDATASET01","","5","DATASET_CODE","","VARCHAR2","N","266","266","0","","",""
"LC00059999","BABAPDATASET01","","6","DATASET_NAME_CHS","","VARCHAR2","N","266","248","0","","",""
"LC00059999","BABAPDATASET01","","7","DATASET_TYPE","","VARCHAR2","N","266","2","0","","","1"
"LC00059999","BABAPDATASET01","","8","DATASET_JSON","","CLOB","N","266","0","0","","",""
"LC00059999","BABAPDATASET01","","9","CREATE_TIME","","TIMESTAMP(7)","N","266","266","0","","",""
"LC00059999","BABAPDATASET01","","10","UPDATE_TIME","","TIMESTAMP(7)","N","266","266","0","","",""
"LC00059999","BABAPDATASET01","","11","APPLICATION_SYSTYPE","","VARCHAR2","Y","266","2","1","","","1"
"LC00059999","BABAPDATASET01","","12","DATASET_NAME_CHT","","VARCHAR2","Y","266","0","266","","",""
"LC00059999","BABAPDATASET01","","13","DATASET_NAME_EN","","VARCHAR2","Y","266","0","266","","",""
"LC00059999","BABAPDATASET01","","14","DATASET_NAME_ES","","VARCHAR2","Y","266","0","266","","",""
"LC00059999","BABAPDATASET01","","15","DATASET_NAME_PT","","VARCHAR2","Y","266","0","266","","",""
"LC00059999","BABAPDATASET01","","16","SECURITY_LEVEL","","NUMBER","Y","266","0","266","","","1"
"LC00059999","BABAPDATASET01","","17","BACKEND_TYPE","","NUMBER","Y","266","1","0","","","1"
"LC00059999","BABAPDATASET01","","18","BIPM_ID","","VARCHAR2","Y","266","8","136","","",""
"LC00059999","BABAPDATASET01","","19","TAB","","NUMBER","Y","266","1","0","","",""
"LC00059999","BABAPDATASETBK","","1","ID","","VARCHAR2","N","148","148","0","","",""
"LC00059999","BABAPDATASETBK","","2","DATASOURCE_ID","","VARCHAR2","N","148","4","0","","",""
"LC00059999","BABAPDATASETBK","","3","CATEGORY_ID","","VARCHAR2","Y","148","16","0","","",""
"LC00059999","BABAPDATASETBK","","4","USER_ID","","VARCHAR2","N","148","2","0","","",""
"LC00059999","BABAPDATASETBK","","5","DATASET_CODE","","VARCHAR2","N","148","148","0","","",""
"LC00059999","BABAPDATASETBK","","6","DATASET_NAME_CHS","","VARCHAR2","N","148","134","0","","",""
"LC00059999","BABAPDATASETBK","","7","DATASET_TYPE","","VARCHAR2","N","148","2","0","","","1"
"LC00059999","BABAPDATASETBK","","8","DATASET_JSON","","CLOB","N","148","0","0","","",""
"LC00059999","BABAPDATASETBK","","9","CREATE_TIME","","TIMESTAMP(7)","N","148","148","0","","",""
"LC00059999","BABAPDATASETBK","","10","UPDATE_TIME","","TIMESTAMP(7)","N","148","148","0","","",""
"LC00059999","BABAPDATASETBK","","11","APPLICATION_SYSTYPE","","VARCHAR2","Y","148","2","2","","","1"
"LC00059999","BABAPDATASETBK","","12","DATASET_NAME_CHT","","VARCHAR2","Y","148","0","148","","",""
"LC00059999","BABAPDATASETBK","","13","DATASET_NAME_EN","","VARCHAR2","Y","148","0","148","","",""
"LC00059999","BABAPDATASETBK","","14","DATASET_NAME_ES","","VARCHAR2","Y","148","0","148","","",""
"LC00059999","BABAPDATASETBK","","15","DATASET_NAME_PT","","VARCHAR2","Y","148","0","148","","",""
"LC00059999","BABAPDATASETBK","","16","SECURITY_LEVEL","","NUMBER","Y","148","0","148","","","1"
"LC00059999","BABAPDATASETBK","","17","BACKEND_TYPE","","NUMBER","Y","148","1","0","","","1"
"LC00059999","BABAPDATASETBK","","18","BIPM_ID","","VARCHAR2","Y","148","5","57","","",""
